Tiempo_A,Analitica,Tiempo,Euler,RK4
0.0416,0.959349,5.93626e-38,3.69551e-33,1.7227e-47
0.0417,0.959253,2.9104e-33,1.48644e-76,6.01469e-67
0.0418,0.959157,1.7227e-47,5.34733e-38,1.30353e-76
0.0419,0.959062,9.93613e-96,7.98584e-72,1.72291e-47
0.042,0.958966,1.51898e-47,5.20846e-90,5.60016e-67
0.0421,0.95887,4.08447e-33,2.52659e-52,7.85511e-67
0.0422,0.958774,2.90777e-33,2.83004e-77,9.06498e-43
0.0423,0.958678,8.98878e-96,3.25196e-86,2.40556e-57
0.0424,0.958582,2.78733e+179,7.97923e-72,1.65428e-47
0.0425,0.958486,1.30353e-76,5.20365e-90,1.13242e-95
0.0426,0.95839,1.72291e-47,3.8534e-57,7.70922e-43
0.0427,0.958295,3.37426e-57,7.98032e-72,3.59652e+179
0.0428,0.958199,8.52792e-96,5.20365e-90,4.2718e-33
0.0429,0.958103,5.20747e-90,9.45146e-96,8.98878e-96
0.043,0.958007,3.69777e-33,1.65716e-47,2.78669e+179
0.0431,0.957911,2.83004e-77,1.42605e-71,2.57769e-57
0.0432,0.957816,3.25195e-86,2.90777e-33,1.91925e-76
0.0433,0.95772,6.32355e-43,4.66175e-62,1.10711e-47
0.0434,0.957624,5.20938e-90,4.18678e-62,1.04024e-95
0.0435,0.957528,1.31532e-47,1.30353e-76,3.27232e+179
0.0436,0.957433,2.2472e-57,1.72291e-47,2.89631e-57
0.0437,0.957337,5.20365e-90,2.40525e-57,1.88644e-259
0.0438,0.957241,3.69551e-33,9.49624e-43,3.25193e-86
0.0439,0.957145,1.48644e-76,6.82363e-38,5.23143e-67
0.044,0.95705,5.34733e-38,1.57753e-52,5.20748e-90
0.0441,0.956954,7.98584e-72,8.59695e-67,1.19965e-71
0.0442,0.956858,5.20846e-90,8.51517e-96,1.47272e-52
0.0443,0.956763,2.52659e-52,6.12862e-62,5.20845e-90
0.0444,0.956667,2.83004e-77,2.42138e-52,1.14261e-71
0.0445,0.956571,3.25196e-86,6.77017e-43,7.40794e-38
0.0446,0.956476,7.97923e-72,7.69908e-43,4.65848e-33
0.0447,0.95638,5.20365e-90,7.71802e-43,9.65164e-48
0.0448,0.956284,3.8534e-57,3.22523e-86,5.20556e-90
0.0449,0.956189,7.98032e-72,2.90702e-33,3.37921e-57
0.045,0.956093,5.20365e-90,4.65949e-86,2.83003e-77
